date.time,date.parity,place.audience,place.address,subject.name,subject.teacher,type.name
08:20-09:50,четная неделя,303/2 (усл) ауд.,"Кронверкский пр., д.49, лит.А",Программирование(Лаб),Усков Иван Владимирович,Очно - дистанционный
10:00-11:30,четная неделя,303/2 (усл) ауд.,"Кронверкский пр., д.49, лит.А",Программирование(Лаб),Усков Иван Владимирович,Очно - дистанционный
11:40-13:10,четная неделя,381 ауд.,"Кронверкский пр., д.49, лит.А",Информатика(Лаб),Малышева Татьяна Алексеевна,Очно - дистанционный
11:40-13:10,"3, 5, 7, 9, 11, 13, 15, 17",305 ауд.,"Кронверкский пр., д.49, лит.А",Основы профессиональной деятельности (Лаб),Ткешелашвили Нино Мерабиевна,Очно - дистанционный
13:30-15:00,четная неделя,381 ауд.,"Кронверкский пр., д.49, лит.А",Информатика(Лаб),Малышева Татьяна Алексеевна,Очно - дистанционный
13:30-15:00,"3, 5, 7, 9, 11, 13, 15, 17",305 ауд.,"Кронверкский пр., д.49, лит.А",Основы профессиональной деятельности(Лаб),Ткешелашвили Нино Мерабиевна,Очно - дистанционный
